request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_72,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -17,839.29, below the required minimum of 12,200, and no eligible payment method keeps the plan safe."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 in full today. This keeps the projected balance at or above the 21,900 minimum throughout the 90-day forecast (worst point projected at ZAR 31,423.09)."
request_73,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -47,017.92, below the required minimum of 103,200, and no eligible payment method keeps the plan safe."
request_75,26058.40,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,reduce_to:projected:dining:2026-04-17:1254.33|reduce_to:projected:dining:2026-05-08:1254.33|reduce_to:projected:dining:2026-05-29:1254.33,"Use installments: 2026-04-09: ZAR 9,800.27, then 2026-05-09: ZAR 9,800.27, then 2026-06-08: ZAR 9,800.27. This keeps the balance at or above the 39,000 minimum throughout the forecast. Requires: reduce_to:projected:dining:2026-04-17:1254.33; reduce_to:projected:dining:2026-05-08:1254.33; reduce_to:projected:dining:2026-05-29:1254.33."
request_77,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -79,045.06, below the required minimum of 82,200, and no eligible payment method keeps the plan safe."
request_76,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -2,547.57, below the required minimum of 1,800, and no eligible payment method keeps the plan safe."
request_78,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -76,181.51, below the required minimum of 55,200, and no eligible payment method keeps the plan safe."
request_79,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -570.32, below the required minimum of 1,000, and no eligible payment method keeps the plan safe."
request_80,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -134,501.66, below the required minimum of 121,300, and no eligible payment method keeps the plan safe."
request_82,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -2,208.09, below the required minimum of 1,100, and no eligible payment method keeps the plan safe."
request_81,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -3,168.99, below the required minimum of 1,600, and no eligible payment method keeps the plan safe."
request_83,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -43,907.36, below the required minimum of 37,800, and no eligible payment method keeps the plan safe."
request_85,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -10,695,955.10, below the required minimum of 6,396,300, and no eligible payment method keeps the plan safe."
request_84,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -112,417.10, below the required minimum of 91,300, and no eligible payment method keeps the plan safe."
request_86,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 19,653.88, below the required minimum of 84,900, and no eligible payment method keeps the plan safe."
request_87,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -335,298.90, below the required minimum of 185,900, and no eligible payment method keeps the plan safe."
request_89,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR 4,494,916.82, below the required minimum of 12,534,700, and no eligible payment method keeps the plan safe."
request_88,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -21,289.84, below the required minimum of 25,800, and no eligible payment method keeps the plan safe."
request_90,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 6,662.32, below the required minimum of 7,600, and no eligible payment method keeps the plan safe."
request_91,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -3,035.79, below the required minimum of 2,100, and no eligible payment method keeps the plan safe."
request_92,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -3,410.99, below the required minimum of 28,100, and no eligible payment method keeps the plan safe."
request_93,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -484.99, below the required minimum of 1,900, and no eligible payment method keeps the plan safe."
request_94,490.11,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR 1,090.11, below the required minimum of 600, and no eligible payment method keeps the plan safe."
request_95,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -299,538.67, below the required minimum of 145,500, and no eligible payment method keeps the plan safe."
request_96,3119.62,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 59,619.62, below the required minimum of 56,500, and no eligible payment method keeps the plan safe."
request_97,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 3,775.87, below the required minimum of 29,700, and no eligible payment method keeps the plan safe."
request_99,217.62,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 49,317.62, below the required minimum of 49,100, and no eligible payment method keeps the plan safe."
request_100,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 11,988.66, below the required minimum of 32,500, and no eligible payment method keeps the plan safe."
request_98,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -58,095.77, below the required minimum of 30,000, and no eligible payment method keeps the plan safe."
request_101,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 6,928.96, below the required minimum of 187,400, and no eligible payment method keeps the plan safe."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,reduce_to:projected:shopping:2026-04-12:31.45|reduce_to:projected:shopping:2026-05-12:31.45,"Use installments: 2026-04-05: EUR 594.88, then 2026-05-05: EUR 594.88, then 2026-06-04: EUR 594.88. This keeps the balance at or above the 900 minimum throughout the forecast. Requires: reduce_to:projected:shopping:2026-04-12:31.45; reduce_to:projected:shopping:2026-05-12:31.45."
request_103,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -233,390.96, below the required minimum of 125,500, and no eligible payment method keeps the plan safe."
request_104,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -30,589.99, below the required minimum of 24,700, and no eligible payment method keeps the plan safe."
request_105,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -138,990.61, below the required minimum of 73,900, and no eligible payment method keeps the plan safe."
request_107,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -597.73, below the required minimum of 1,600, and no eligible payment method keeps the plan safe."
request_106,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -1,130.48, below the required minimum of 1,200, and no eligible payment method keeps the plan safe."
request_109,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -248.98, below the required minimum of 1,700, and no eligible payment method keeps the plan safe."
request_110,15594.39,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 26,794.39, below the required minimum of 11,200, and no eligible payment method keeps the plan safe."
request_108,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -15,591.49, below the required minimum of 24,100, and no eligible payment method keeps the plan safe."
request_112,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -942.76, below the required minimum of 500, and no eligible payment method keeps the plan safe."
request_111,14245002.75,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR 37,267,802.75, below the required minimum of 23,022,800, and no eligible payment method keeps the plan safe."
request_114,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -151,443.87, below the required minimum of 113,400, and no eligible payment method keeps the plan safe."
request_113,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -122,617.86, below the required minimum of 82,300, and no eligible payment method keeps the plan safe."
request_115,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -16,799.41, below the required minimum of 38,800, and no eligible payment method keeps the plan safe."
request_116,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -63,228.29, below the required minimum of 80,300, and no eligible payment method keeps the plan safe."
request_118,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -626.59, below the required minimum of 600, and no eligible payment method keeps the plan safe."
request_117,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR 419.90, below the required minimum of 1,000, and no eligible payment method keeps the plan safe."
request_119,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -32,239.49, below the required minimum of 151,200, and no eligible payment method keeps the plan safe."
request_120,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -15,774,595.45, below the required minimum of 20,050,300, and no eligible payment method keeps the plan safe."
request_121,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD 695.09, below the required minimum of 800, and no eligible payment method keeps the plan safe."
request_123,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR 15,864,737.65, below the required minimum of 18,091,200, and no eligible payment method keeps the plan safe."
request_124,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR 968.37, below the required minimum of 1,600, and no eligible payment method keeps the plan safe."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use installments: 2025-08-05: IDR 7,126,773.33, then 2025-09-02: IDR 7,126,773.33, then 2025-09-30: IDR 7,126,773.33. This keeps the balance at or above the 12,588,500 minimum throughout the forecast."
request_125,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -18,563.79, below the required minimum of 11,300, and no eligible payment method keeps the plan safe."
request_126,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 113,342.14, below the required minimum of 129,700, and no eligible payment method keeps the plan safe."
request_127,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -41,503.89, below the required minimum of 41,000, and no eligible payment method keeps the plan safe."
request_128,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -3,058.71, below the required minimum of 42,600, and no eligible payment method keeps the plan safe."
request_129,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -540.45, below the required minimum of 800, and no eligible payment method keeps the plan safe."
request_130,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -2,634.62, below the required minimum of 1,400, and no eligible payment method keeps the plan safe."
request_131,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -508.51, below the required minimum of 1,100, and no eligible payment method keeps the plan safe."
request_132,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -1,268.22, below the required minimum of 1,100, and no eligible payment method keeps the plan safe."
request_134,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -316,979.01, below the required minimum of 15,902,500, and no eligible payment method keeps the plan safe."
request_133,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR 7,941,062.12, below the required minimum of 9,986,200, and no eligible payment method keeps the plan safe."
request_135,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -509.81, below the required minimum of 500, and no eligible payment method keeps the plan safe."
request_136,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD 372.93, below the required minimum of 1,100, and no eligible payment method keeps the plan safe."
request_137,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -191,352.33, below the required minimum of 71,800, and no eligible payment method keeps the plan safe."
request_139,218.89,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD 1,718.89, below the required minimum of 1,500, and no eligible payment method keeps the plan safe."
request_138,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -1,063.07, below the required minimum of 2,300, and no eligible payment method keeps the plan safe."
request_140,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -54,474.04, below the required minimum of 21,600, and no eligible payment method keeps the plan safe."
request_141,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -112,696.78, below the required minimum of 67,300, and no eligible payment method keeps the plan safe."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 in full today. This keeps the projected balance at or above the 1,700 minimum throughout the 90-day forecast (worst point projected at USD 3,081.81)."
request_143,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -17,977.64, below the required minimum of 11,300, and no eligible payment method keeps the plan safe."
request_144,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -1,169.75, below the required minimum of 600, and no eligible payment method keeps the plan safe."
request_145,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -369,438.32, below the required minimum of 155,400, and no eligible payment method keeps the plan safe."
request_146,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 33,256.07, below the required minimum of 108,600, and no eligible payment method keeps the plan safe."
request_147,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -1,034.82, below the required minimum of 900, and no eligible payment method keeps the plan safe."
request_149,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 23,592.08, below the required minimum of 42,100, and no eligible payment method keeps the plan safe."
request_148,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -43,067, below the required minimum of 20,000, and no eligible payment method keeps the plan safe."
request_150,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -1,331.91, below the required minimum of 700, and no eligible payment method keeps the plan safe."
request_151,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -13,352,296.03, below the required minimum of 31,633,600, and no eligible payment method keeps the plan safe."
request_152,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -10,691.70, below the required minimum of 11,900, and no eligible payment method keeps the plan safe."
request_153,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -3,008.61, below the required minimum of 1,400, and no eligible payment method keeps the plan safe."
request_154,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR 782.67, below the required minimum of 1,300, and no eligible payment method keeps the plan safe."
request_155,13346.84,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 69,646.84, below the required minimum of 56,300, and no eligible payment method keeps the plan safe."
request_156,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -9,466.42, below the required minimum of 26,900, and no eligible payment method keeps the plan safe."
request_158,203738.63,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 335,138.63, below the required minimum of 131,400, and no eligible payment method keeps the plan safe."
request_157,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -32,032,442.97, below the required minimum of 15,714,100, and no eligible payment method keeps the plan safe."
request_160,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -1,218.93, below the required minimum of 1,200, and no eligible payment method keeps the plan safe."
request_159,256.83,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 8,956.83, below the required minimum of 8,700, and no eligible payment method keeps the plan safe."
request_161,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -25,681,881.71, below the required minimum of 23,010,400, and no eligible payment method keeps the plan safe."
request_162,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -9,551,942.94, below the required minimum of 24,161,100, and no eligible payment method keeps the plan safe."
request_163,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -35,924,011.87, below the required minimum of 26,728,700, and no eligible payment method keeps the plan safe."
request_164,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -2,113,487.97, below the required minimum of 29,550,500, and no eligible payment method keeps the plan safe."
request_165,79004.86,affordable_with_plan,full_payment,2026-04-06:80600,,reduce_to:projected:dining:2026-04-20:1740.64,"Use full payment: 2026-04-06: INR 80,600. This keeps the balance at or above the 95,000 minimum throughout the forecast. Requires: reduce_to:projected:dining:2026-04-20:1740.64."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use installments: 2024-12-03: USD 1,007.97, then 2025-01-03: USD 1,007.97, then 2025-02-03: USD 1,007.97. This keeps the balance at or above the 1,700 minimum throughout the forecast."
request_167,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -9,459.29, below the required minimum of 31,200, and no eligible payment method keeps the plan safe."
request_168,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -192,638.61, below the required minimum of 114,400, and no eligible payment method keeps the plan safe."
request_169,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 4,243.51, below the required minimum of 18,700, and no eligible payment method keeps the plan safe."
request_170,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -35,123,534.84, below the required minimum of 24,715,800, and no eligible payment method keeps the plan safe."
request_172,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -36,044.10, below the required minimum of 27,200, and no eligible payment method keeps the plan safe."
request_171,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -422.14, below the required minimum of 500, and no eligible payment method keeps the plan safe."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use installments: 2026-04-04: EUR 397.35, then 2026-05-04: EUR 397.35, then 2026-06-03: EUR 397.35. This keeps the balance at or above the 700 minimum throughout the forecast."
request_173,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -139,035.31, below the required minimum of 79,100, and no eligible payment method keeps the plan safe."
request_175,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR 836.29, below the required minimum of 1,700, and no eligible payment method keeps the plan safe."
request_176,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -640.61, below the required minimum of 600, and no eligible payment method keeps the plan safe."
request_177,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -1,691.33, below the required minimum of 1,300, and no eligible payment method keeps the plan safe."
request_179,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -46,357,833.86, below the required minimum of 41,430,800, and no eligible payment method keeps the plan safe."
request_178,2568.98,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR 3,968.98, below the required minimum of 1,400, and no eligible payment method keeps the plan safe."
request_180,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -25,042.46, below the required minimum of 37,300, and no eligible payment method keeps the plan safe."
